Feeling Word (EN),Feeling Word (ES),Feeling Word (PT),Feeling Word (IT),It might relate to (EN),It might relate to (ES),It might relate to (PT),It might relate to (IT),Adaptive Explanation (EN),Adaptive Explanation (ES),Adaptive Explanation (PT),Adaptive Explanation (IT)
Appreciative,Agradecido,Agradecido,Riconoscente,Appreciation,Aprecio,Apreciação,Apprezzamento,Encourages presence and positivity by noticing what is good or meaningful.,Fomenta la presencia y la positividad al notar lo que es bueno o significativo.,Incentiva a presença e a positividade ao notar o que é bom ou significativo.,Incoraggia la presenza e la positività notando ciò che è buono o significativo.
Cherished,"Apreciado, Valorizado",Apreciado,"Caro, Apprezzato",Appreciation,Aprecio,Apreciação,Apprezzamento,Deepens emotional connection by affirming your importance to others.,Profundiza la conexión emocional al afirmar tu importancia para los demás.,Aprofunda a conexão emocional afirmando sua importância para os outros.,Approfondisce la connessione emotiva affermando la tua importanza per gli altri.
Esteemed,Estimado,Estimado,Stimato,Appreciation,Aprecio,Apreciação,Apprezzamento,"Highlights social respect and admiration, boosting confidence and contribution.","Destaca el respeto y la admiración social, lo que aumenta la confianza y la contribución.","Destaca o respeito social e a admiração, impulsionando a confiança e a contribuição.","Mette in evidenza il rispetto e l'ammirazione sociale, aumentando la fiducia e il contributo."
Grateful,Agradecido,Grato,Grato,Appreciation,Aprecio,Apreciação,Apprezzamento,Increases emotional wellbeing by focusing on the value of people or experiences.,Aumenta el bienestar emocional al centrarse en el valor de las personas o las experiencias.,Aumenta o bem-estar emocional ao focar no valor de pessoas ou experiências.,Aumenta il benessere emotivo concentrandosi sul valore delle persone o delle esperienze.
Honored,Honrado,Honrado,Onorato,Appreciation,Aprecio,Apreciação,Apprezzamento,"Affirms that your actions align with shared values, deepening commitment.","Afirma que tus acciones se alinean con valores compartidos, lo que profundiza el compromiso.","Afirma que suas ações se alinham com valores compartilhados, aprofundando o compromisso.","Afferma che le tue azioni si allineano con i valori condivisi, approfondendo l'impegno."
Praised,Elogiado,"Louvado, Elogiado",Lodato,Appreciation,Aprecio,Apreciação,Apprezzamento,Motivates continued contribution through positive reinforcement.,Motiva la contribución continua a través del refuerzo positivo.,Motiva a contribuição contínua através de reforço positivo.,Motiva un contributo continuo attraverso il rinforzo positivo.
Recognized,Reconocido,Reconhecido,Riconosciuto,Appreciation,Aprecio,Apreciação,Apprezzamento,Reinforces value and identity through external affirmation.,Refuerza el valor y la identidad a través de la afirmación externa.,Reforça valor e identidade através de afirmação externa.,Rafforza il valore e l'identità attraverso l'affermazione esterna.
Respected,Respetado,Respeitado,Rispettato,Appreciation,Aprecio,Apreciação,Apprezzamento,"Reinforces dignity and influence, supporting meaningful relationships.","Refuerza la dignidad y la influencia, apoyando relaciones significativas.","Reforça a dignidade e a influência, apoiando relacionamentos significativos.","Rafforza la dignità e l'influenza, supportando relazioni significative."
Thankful,Agradecido,Grato,Grato,Appreciation,Aprecio,Apreciação,Apprezzamento,Reinforces social bonds by recognizing kindness or support.,Refuerza los lazos sociales al reconocer la amabilidad o el apoyo.,Reforça os laços sociais ao reconhecer bondade ou apoio.,Rafforza i legami sociali riconoscendo la gentilezza o il supporto.
Valued,"Valorado, Valorizado",Valorizado,"Apprezzato, Stimato",Appreciation,Aprecio,Apreciação,Apprezzamento,Affirms self-worth and strengthens relational trust.,Afirma la autoestima y fortalece la confianza en las relaciones.,Afirma a autoestima e fortalece a confiança relacional.,Afferma l'autostima e rafforza la fiducia relazionale.
Absorbed,Absorto,Absorvido,Assorbito,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Reflects deep immersion that supports learning, problem-solving, or creativity.","Refleja una inmersión profunda que apoya el aprendizaje, la resolución de problemas o la creatividad.","Reflete imersão profunda que apoia a aprendizagem, a resolução de problemas ou a criatividade.","Riflette un'immersione profonda che supporta l'apprendimento, la risoluzione dei problemi o la creatività."
Alert,Alerta,Alerta,Allerta,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,Heightens readiness to respond to immediate changes in your environment.,Aumenta la disposición para responder a cambios inmediatos en tu entorno.,Aumenta a prontidão para responder a mudanças imediatas no seu ambiente.,Aumenta la prontezza a rispondere ai cambiamenti immediati nel tuo ambiente.
Attentive,Atento,Atento,Attento,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Directs awareness to others or the environment, enhancing empathy or insight.","Dirige la conciencia hacia los demás o el entorno, mejorando la empatía o la perspicacia.","Direciona a consciência para os outros ou para o ambiente, aprimorando a empatia ou a percepção.","Dirige la consapevolezza verso gli altri o l'ambiente, migliorando l'empatia o l'intuizione."
Compelled,"Obligado, Impulsado",Compelido,"Costretto, Obbligato",Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Reflects strong internal pull toward a goal or resolution, often rooted in deep emotion.","Refleja un fuerte impulso interno hacia una meta o resolución, a menudo arraigado en una emoción profunda.","Reflete um forte impulso interno em direção a um objetivo ou resolução, muitas vezes enraizado em emoções profundas.","Riflette una forte spinta interna verso un obiettivo o una risoluzione, spesso radicata in un'emozione profonda."
Concentrated,Concentrado,Concentrado,Concentrato,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Focuses mental energy on a specific task or goal, supporting effectiveness.","Enfoca la energía mental en una tarea o meta específica, lo que apoya la efectividad.","Foca a energia mental em uma tarefa ou objetivo específico, apoiando a eficácia.","Concentra l'energia mentale su un compito o un obiettivo specifico, supportando l'efficacia."
Distracted,Distraído,Distraído,Distratto,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Brings attention to competing stimuli, suggesting a need to refocus or prioritize.","Llama la atención sobre estímulos que compiten, lo que sugiere la necesidad de reorientarse o priorizar.","Traz a atenção para estímulos concorrentes, sugerindo a necessidade de refocar ou priorizar.","Porta l'attenzione su stimoli concorrenti, suggerendo la necessità di rifocalizzare o dare priorità."
Driven,"Motivado, Impulsado",Impulsionado,"Spinto, Guidato",Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Channels high energy toward achieving a purpose, reinforcing motivation and momentum.","Canaliza una alta energía hacia el logro de un propósito, reforzando la motivación y el impulso.","Canaliza alta energia para alcançar um propósito, reforçando a motivação e o impulso.","Canalia alta energia verso il raggiungimento di uno scopo, rafforzando la motivazione e lo slancio."
Engaged,Comprometido,Envolvido,"Coinvolto, Impegnato",Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Indicates emotional or cognitive investment, reinforcing motivation and connection.","Indica una inversión emocional o cognitiva, lo que refuerza la motivación y la conexión.","Indica investimento emocional ou cognitivo, reforçando a motivação e a conexão.","Indica un investimento emotivo o cognitivo, rafforzando la motivazione e la connessione."
Hypervigilant,Hipervigilante,Hipervigilante,Ipervigile,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Reflects elevated threat perception, urging protection or trauma-informed care.","Refleja una percepción de amenaza elevada, instando a la protección o a la atención informada sobre el trauma.","Reflete uma percepção de ameaça elevada, solicitando proteção ou cuidados informados sobre trauma.","Riflette una percezione di minaccia elevata, spingendo alla protezione o a cure informate sul trauma."
Immersed,Inmerso,Imerso,Immerso,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Enhances experiential processing, allowing full involvement in an activity or emotion.","Mejora el procesamiento experiencial, permitiendo una participación total en una actividad o emoción.","Aprimora o processamento experiencial, permitindo total envolvimento em uma atividade ou emoção.","Migliora l'elaborazione esperienziale, consentendo il pieno coinvolgimento in un'attività o un'emozione."
Obsessed,Obsesionado,Obsessivo,Ossessionato,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Fixates attention and energy, often signaling intense desire or emotional unmet needs.","Fija la atención y la energía, a menudo indicando un deseo intenso o necesidades emocionales no satisfechas.","Fixa a atenção e a energia, muitas vezes sinalizando desejo intenso ou necessidades emocionais não atendidas.","Fissa l'attenzione e l'energia, spesso segnalando un desiderio intenso o bisogni emotivi non soddisfatti."
Preoccupied,Preocupado,Preocupado,Preoccupato,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Flags unresolved concerns taking mental space, prompting redirection or resolution.","Señala preocupaciones no resueltas que ocupan espacio mental, lo que provoca la reorientación o la resolución.","Sinaliza preocupações não resolvidas ocupando espaço mental, incitando a redirecionamento ou resolução.","Segnala preoccupazioni irrisolte che occupano spazio mentale, spingendo al reindirizzamento o alla risoluzione."
Restless,Inquieto,Inquieto,Irrequieto,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Signals unmet needs for stimulation, prompting movement, novelty, or engagement.","Indica necesidades de estimulación no satisfechas, lo que provoca movimiento, novedad o compromiso.","Sinaliza necessidades não atendidas de estímulo, incitando a movimento, novidade ou engajamento.","Segnala bisogni insoddisfatti di stimolazione, spingendo al movimento, alla novità o all'impegno."
Scattered,Disperso,Disperso,"Sparso, Disperso",Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Reflects cognitive overload or fragmentation, encouraging simplification or rest.","Refleja una sobrecarga cognitiva o una fragmentación, lo que fomenta la simplificación o el descanso.","Reflete sobrecarga cognitiva ou fragmentação, encorajando a simplificação ou o descanso.","Riflette un sovraccarico cognitivo o una frammentazione, incoraggiando la semplificazione o il riposo."
Spaced out,Despistado,Desligado,"Distratto, Assente",Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Indicates fatigue, overwhelm, or disengagement, signaling a need for reconnection.","Indica fatiga, abrumación o desvinculación, lo que señala la necesidad de reconexión.","Indica fadiga, sobrecarga ou desengajamento, sinalizando a necessidade de reconexão.","Indica affaticamento, sopraffazione o disimpegno, segnalando la necessità di riconnessione."
Unfocused,Desenfocado,Desfocado,Senza fuoco,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,"Highlights disconnection from goals or clarity, suggesting a need for recalibration.","Destaca la desconexión de las metas o la claridad, lo que sugiere la necesidad de recalibración.","Destaca a desconexão de objetivos ou clareza, sugerindo a necessidade de recalibração.","Mette in evidenza la disconnessione dagli obiettivi o dalla chiarezza, suggerendo la necessità di ricalibrare."
Zoned in,Concentrado,Focado,Concentrato,Attention/Focus,Atención/Enfoque,Atenção/Foco,Attenzione/Focalizzazione,Signals deep engagement and flow in a meaningful or high-focus activity.,Indica un compromiso profundo y un flujo en una actividad significativa o de alto enfoque.,Sinaliza engajamento profundo e fluxo em uma atividade significativa ou de alto foco.,Segnala un profondo coinvolgimento e un flusso in un'attività significativa o ad alta concentrazione.
Autonomous,Autónomo,Autônomo,Autonomo,Autonomy,Autonomía,Autonomia,Autonomia,Supports ownership and responsibility in self-directed action.,Apoya la propiedad y la responsabilidad en la acción autodirigida.,Apoia a propriedade e a responsabilidade em ações autodirigidas.,Supporta la proprietà e la responsabilità nell'azione autodiretta.
Empowered,Empoderado,Empoderado,"Autonomo, Potenziato",Autonomy,Autonomía,Autonomia,Autonomia,Activates personal agency and confidence to create meaningful change.,Activa la capacidad de agencia personal y la confianza para crear un cambio significativo.,Ativa a autonomia pessoal e a confiança para criar mudanças significativas.,Attiva l'autonomia personale e la fiducia per creare un cambiamento significativo.
Free,Libre,Livre,Libero,Autonomy,Autonomía,Autonomia,Autonomia,Fosters personal agency and authenticity by reducing external constraints.,Fomenta la capacidad de agencia personal y la autenticidad al reducir las restricciones externas.,Fomenta a autonomia pessoal e a autenticidade ao reduzir as restrições externas.,Favorisce l'autonomia personale e l'autenticità riducendo i vincoli esterni.
Independent,Independiente,Independente,Indipendente,Autonomy,Autonomía,Autonomia,Autonomia,Enhances freedom to make choices aligned with your values and goals.,Mejora la libertad para tomar decisiones alineadas con tus valores y metas.,Aprimora a liberdade de fazer escolhas alinhadas com seus valores e objetivos.,Migliora la libertà di fare scelte allineate con i tuoi valori e obiettivi.
Self-determined,Autodeterminado,Autodeterminado,Autodeterminato,Autonomy,Autonomía,Autonomia,Autonomia,Motivates intentional action guided by internal values and goals.,Motiva la acción intencional guiada por valores y metas internas.,Motiva a ação intencional guiada por valores e objetivos internos.,Motiva un'azione intenzionale guidata da valori e obiettivi interni.
Self-governing,Autogobernado,Autogovernado,Autogovernato,Autonomy,Autonomía,Autonomia,Autonomia,Promotes integrity and purpose through self-directed decision-making.,Promueve la integridad y el propósito a través de la toma de decisiones autodirigida.,Promove a integridade e o propósito através da tomada de decisão autodirigida.,Promuove l'integrità e lo scopo attraverso la presa di decisioni autodiretta.
Self-reliant,Autosuficiente,Autoconfiante,Autosufficiente,Autonomy,Autonomía,Autonomia,Autonomia,Builds inner strength and confidence through dependable self-support.,Construye fuerza interior y confianza a través del apoyo personal confiable.,Constrói força interior e confiança através de autossuporte confiável.,Costruisce forza interiore e fiducia attraverso un autosostegno affidabile.
Self-sufficient,Autosuficiente,Autossuficiente,Autosufficiente,Autonomy,Autonomía,Autonomia,Autonomia,Encourages resilience and adaptability through internal resourcefulness.,Fomenta la resiliencia y la adaptabilidad a través de la inventiva interna.,Incentiva a resiliência e a adaptabilidade através da inventividade interna.,Incoraggia la resilienza e l'adattabilità attraverso l'intraprendenza interiore.
Sovereign,Soberano,Soberano,Sovrano,Autonomy,Autonomía,Autonomia,Autonomia,"Embodies full self-direction and accountability, aligned with personal authority.","Encarna la autodirección total y la responsabilidad, alineadas con la autoridad personal.","Incorpora total autodireção e responsabilidade, alinhadas com a autoridade pessoal.","Incarna la piena autodirezione e responsabilità, allineata con l'autorità personale."
Unbound,Sin límites,Ilimitado,Senza limiti,Autonomy,Autonomía,Autonomia,Autonomia,Opens new possibilities by removing limits on thought or action.,Abre nuevas posibilidades al eliminar los límites en el pensamiento o la acción.,Abre novas possibilidades removendo limites de pensamento ou ação.,Apre nuove possibilità rimuovendo i limiti al pensiero o all'azione.
Unrestrained,Desenfrenado,Desenfreado,"Senza freni, Sfrenato",Autonomy,Autonomía,Autonomia,Autonomia,Allows full expression and exploration of identity and potential.,Permite la expresión y exploración completas de la identidad y el potencial.,Permite a expressão total e a exploração da identidade e do potencial.,Consente la piena espressione ed esplorazione dell'identità e del potenziale.
Aligned,Alineado,Alinhado,Allineato,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,Enhances clarity and flow by bringing actions in line with values or goals.,Mejora la claridad y el flujo al alinear las acciones con los valores o metas.,Aprimora a clareza e o fluxo ao alinhar ações com valores ou objetivos.,Migliora la chiarezza e il flusso portando le azioni in linea con valori o obiettivi.
Balanced,Equilibrado,Equilibrado,Equilibrato,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,Sustains wellbeing by managing competing needs or pressures effectively.,Sostiene el bienestar al gestionar eficazmente las necesidades o presiones en conflicto.,Sustenta o bem-estar gerenciando eficazmente necessidades ou pressões concorrentes.,Sostiene il benessere gestendo efficacemente bisogni o pressioni concorrenti.
Centered,Centrado,Centrado,Centrato,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,"Maintains emotional steadiness, supporting focus and self-awareness.","Mantiene la estabilidad emocional, apoyando el enfoque y la autoconciencia.","Mantém a estabilidade emocional, apoiando o foco e a autoconsciência.","Mantiene la stabilità emotiva, supportando la concentrazione e la consapevolezza di sé."
Coordinated,Coordinado,Coordenado,Coordinato,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,Enhances collaboration and efficiency through synchronized effort.,Mejora la colaboración y la eficiencia a través del esfuerzo sincronizado.,Aprimora a colaboração e a eficiência através de esforço sincronizado.,Migliora la collaborazione e l'efficienza attraverso uno sforzo sincronizzato.
Equitable,Equitativo,Equitativo,Equo,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,"Promotes fairness and mutual benefit, strengthening systems and relationships.","Promueve la equidad y el beneficio mutuo, fortaleciendo los sistemas y las relaciones.","Promove a justiça e o benefício mútuo, fortalecendo sistemas e relacionamentos.","Promuove l'equità e il beneficio reciproco, rafforzando sistemi e relazioni."
Grounded,"Con los pies en la tierra, Centrado","Com os pés no chão, Centrado","Con i piedi per terra, Radicato",Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,Anchors decisions and reactions in reality and core values.,Ancla las decisiones y reacciones en la realidad y en los valores fundamentales.,Ancoras decisões e reações na realidade e em valores centrais.,Ancorra le decisioni e le reazioni nella realtà e nei valori fondamentali.
Harmonious,Armonioso,Harmonioso,Armonioso,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,Promotes collaboration and mutual respect in relationships or systems.,Promueve la colaboración y el respeto mutuo en las relaciones o sistemas.,Promove a colaboração e o respeito mútuo em relacionamentos ou sistemas.,Promuove la collaborazione e il rispetto reciproco nelle relazioni o nei sistemi.
Integrated,Integrado,Integrado,Integrato,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,Supports coherence by uniting different parts into a functional whole.,Apoya la coherencia al unir diferentes partes en un todo funcional.,Apoia a coerência unindo diferentes partes em um todo funcional.,Supporta la coerenza unendo parti diverse in un insieme funzionale.
Peaceful,"Tranquilo, Pacífico",Pacífico,Pacifico,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,Creates a stable emotional environment for connection and reflection.,Crea un entorno emocional estable para la conexión y la reflexión.,Cria um ambiente emocional estável para conexão e reflexão.,Crea un ambiente emotivo stabile per la connessione e la riflessione.
Stable,Estable,Estável,Stabile,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,"Provides consistency and predictability, supporting safety and trust.","Proporciona consistencia y previsibilidad, apoyando la seguridad y la confianza.","Fornece consistência e previsibilidade, apoiando a segurança e a confiança.","Fornisce coerenza e prevedibilità, supportando sicurezza e fiducia."
Symmetrical,Simétrico,Simétrico,Simmetrico,Balance / Harmony,Equilibrio / Armonía,Equilíbrio / Harmonia,Equilibrio / Armonia,"Reflects internal or external harmony, supporting clarity and calm.","Refleja la armonía interna o externa, apoyando la claridad y la calma.","Reflete a harmonia interna ou externa, apoiando a clareza e a calma.","Riflette l'armonia interna o esterna, supportando chiarezza e calma."
Assured,Seguro,Assegurado,Assicurato,Belief / Faith,Creencia / Fe,Crença / Fé,Credenza / Fede,Reinforces certainty and calm grounded in trust or experience.,Refuerza la certeza y la calma arraigadas en la confianza o la experiencia.,Reforça a certeza e a calma baseadas em confiança ou experiência.,Rafforza la certezza e la calma basate sulla fiducia o sull'esperienza.
Believing,Creyente,Crente,Credente,Belief / Faith,Creencia / Fe,Crença / Fé,Credenza / Fede,"Anchors action in conviction, providing stability in uncertainty.","Ancla la acción en la convicción, proporcionando estabilidad en la incertidumbre.","Ancoras a ação na convicção, proporcionando estabilidade na incerteza.","Ancorra l'azione nella convinzione, fornendo stabilità nell'incertezza."
Certain,Cierto,Certo,Certo,Belief / Faith,Creencia / Fe,Crença / Fé,Credenza / Fede,Supports decisive action through clarity and confidence in belief.,Apoya la acción decisiva a través de la claridad y la confianza en la creencia.,Apoia a ação decisiva através da clareza e confiança na crença.,Supporta un'azione decisa attraverso la chiarezza e la fiducia nella convinzione.
